,规模以上工业增加值增速,社会消费品零售总额,全部财政收入,财政支出,进出口总额,出口额,进口额,固定资产投资额,固定资产投资额其中第一产业,固定资产投资额其中第二产业,固定资产投资额其中第三产业,固定资产投资额其中房地产开发,城镇常住居民人均可支配收入,农村常住居民人均可支配收入,居民价格消费指数,金融机构人民币存贷款余额增速,建筑业现价增长速度,商品房销售面积增速,房地产业单位从业人员增速,房地产业单位从劳动报酬增速,铁路运输总周转量增速,公路运输总周转量增速,水上运输总周转量增速,航空运输总周转量增速,税收收入,地区生产总值
2010.1,26.5,18.7,37.9,18.4,49.5,26.8,81.3,30.7,9.5,32.0,30.3,28.8,10.1,4.6,2.2,23.2,23.3,31.8,26.7,26.9,7.2,17.0,13.6,33.7,34.8,14.8779545870563
2010.2,26.3,19.1,35.3,22.1,58.7,36.4,89.5,34.2,24.6,36.2,27.4,31.4,10.9,11.1,2.5,22.0,23.0,24.5,28.8,43.3,8.3,15.4,10.8,33.1,34.9,15.4
2010.3,23.6,19.2,31.7,24.6,54.9,38.5,76.9,34.3,24.4,40.7,29.4,33.0,11.1,13.7,2.6,24.2,22.4,7.7,28.2,42.1,7.0,16.3,5.5,29.9,31.6,14.7
2010.4,23.6,19.2,33.0,20.8,54.8,39.7,74.6,33.6,21.2,40.5,28.1,34.9,12.1,17.3,3.1,23.1,22.1,2.1,28.2,42.1,6.0,17.6,3.1,26.3,37.7,14.5333834856385
2011.1,19.9,17.2,39.8,41.6,34.4,39.1,29.8,35.1,16.6,37.4,41.0,36.9,17.2,19.7,5.1,22.0,23.5,19.4,14.3,32.0,0.0,21.2,31.0,8.0,49.4,13.8310892742096
2011.2,20.0,17.8,35.9,39.4,32.2,39.7,24.6,35.5,6.4,40.0,32.3,35.6,18.2,19.9,5.7,20.0,22.2,11.4,14.8,37.6,-0.3,21.9,20.3,7.0,41.0,13.4103866041258
2011.3,20.7,18.0,34.3,37.4,33.4,40.0,26.3,30.6,-1.5,37.1,25.7,37.7,17.5,20.9,5.9,17.4,22.4,20.6,25.0,48.9,-0.3,22.4,19.3,6.4,38.1,14.3069208389891
2011.4,21.1,18.0,27.6,27.6,29.1,37.6,20.2,27.6,-0.9,30.5,25.7,27.9,17.8,17.9,5.6,19.2,21.1,11.4,25.0,48.9,0.3,22.3,16.8,5.8,27.9,13.4612804089827
2012.1,17.1,16.7,17.6,37.9,9.7,21.0,-2.0,26.0,89.6,28.7,22.5,26.3,17.5,19.7,3.6,16.7,17.8,-9.0,19.5,42.8,-1.5,16.8,-3.0,3.4,15.3,12.2722505101359
2012.2,16.5,16.0,14.8,28.6,10.9,28.1,-8.5,22.8,72.1,14.7,29.6,17.9,14.3,18.9,2.9,17.9,14.5,-6.3,24.1,46.8,-1.7,17.2,15.7,4.3,13.6,11.9797185162493
2012.3,16.0,15.8,13.8,23.0,32.1,69.9,-12.2,23.7,82.8,15.8,29.9,14.5,13.2,18.2,2.4,19.4,13.2,-3.9,21.2,47.2,-2.5,18.0,21.8,4.1,15.3,11.9517502720144
2012.4,16.2,16.0,14.9,19.19,25.6,56.6,-11.6,24.2,71.9,14.7,32.5,20.7,13.0,14.9,2.3,18.5,10.4,4.8,21.2,47.2,-3.6,18.7,23.1,4.2,17.8,12.0988080269128
2013.1,15.2,13.5,12.2,17.5,62.9,98.1,17.7,22.7,45.8,14.6,29.5,14.8,10.6,14.3,2.1,20.0,12.3,42.0,14.5,38.4,-3.4,18.2,26.1,9.1,16.4,11.1509337174422
2013.2,14.5,13.6,10.8,10.4,36.2,44.2,23.6,21.6,25.1,20.4,22.6,22.4,9.6,13.4,2.2,19.5,7.0,44.0,13.0,33.4,-5.0,17.8,16.5,9.8,15.0,10.8515588645881
2013.3,13.7,13.7,10.6,9.7,9.2,-2.2,35.1,21.6,24.3,20.4,22.5,24.2,9.9,13.8,2.3,18.9,7.0,36.2,15.4,31.8,-2.0,16.1,13.2,9.8,14.8,10.6636199601023
2013.4,13.7,14.0,11.2,9.9,16.2,5.6,38.6,21.2,28.9,18.9,23.0,25.2,9.9,13.1,2.4,16.7,7.0,29.8,29.4,60.3,-1.7,16.0,14.3,9.7,16.5,10.3507404290473
2014.1,13.0,12.9,11.2,6.6,-7.4,-24.2,29.1,19.4,12.0,20.0,19.2,12.5,9.8,12.2,2.0,15.3,7.0,5.0,43.4,88.8,-2.8,13.95,10.4,10.25,20.4,9.60251845286303
2014.2,12.4,13.1,11.2,11.3,11.2,4.8,23.4,18.0,29.6,16.1,19.1,11.9,9.8,12.3,1.8,15.7,6.8,2.9,40.5,56.8,-0.6,11.9,6.5,10.8,16.7,9.32000722530486
2014.3,11.3,13.0,10.0,11.7,10.9,12.3,8.6,17.0,40.9,15.3,17.6,10.5,9.4,12.2,1.7,13.5,6.5,-0.3,28.1,47.6,-1.1,13.1,8.1,10.4,14.4,9.1
2014.4,11.2,13.0,8.9,7.2,8.2,11.5,3.0,16.5,39.2,13.9,17.710234955580262,10.0,9.0,12.0,1.6,13.3,7.5,-1.0,19.5,34.1,-1.2,12.8,7.8,10.8,11.3,9.2001771499669
2015.1,9.0,12.3,6.2,8.4,-3.8,3.4,-13.1,14.1,36.0,11.5,15.5,6.9,8.6,11.0,1.0,13.2,5.8,-13.4,10.9,20.6,-6.3,7.8,11.7,14.0,0.8,8.6
2015.2,8.7,12.1,9.3,16.2,-10.5,-8.4,-13.9,13.5,43.2,12.9,12.6,2.6,8.4,10.0,1.2,12.5,4.9,-5.7,7.1,18.3,-0.5,5.5,12.2,14.3,4.9,8.6
2015.3,8.7,12.1,10.7,21.9,-7.7,-4.2,-13.9,13.4,43.4,14.1,11.5,3.0,8.6,9.9,1.4,13.3,5.1,-0.8,7.9,17.6,-6.3,0.6,10.0,14.0,6.5,8.7
2015.4,8.6,12.0,9.5,12.1,-0.8,5.2,-11.3,12.7,40.8,13.6,10.7,2.0,8.44351192175435,9.1,1.3,14.7,3.7,-0.5,7.9,17.6,-0.7,-1.5,9.7,13.5,6.3,8.7
2016.1,8.5,12.0,9.6,23.0,-9.8,-4.4,-18.1,11.4,9.8,13.8,9.4,8.7,8.7,9.5,2.2,16.2,3.7,25.0,6.7,15.1,-2.0,0.1,21.5,11.9,12.2,8.6
2016.2,8.5,12.1,8.8,14.8,-4.8,-2.4,-8.9,11.5,4.0,9.9,13.3,8.7,8.7,9.4,1.8,15.5,4.0,40.1,7.1,15.8,-0.9,2.0,9.6,12.1,8.4,8.6
2016.3,8.6,12.2,8.9,10.7,-6.6,-8.2,-3.5,11.5,4.4,9.9,13.2,3.3,8.4,8.8,1.7,18.6,3.9,47.3,5.4,13.0,0.5,2.9,6.8,12.2,4.9,8.717792804916
2016.4,8.8,12.3,9.0,5.6,-7.2,-11.7,2.1,11.7,6.6,9.745528510716682,13.593198000237436,4.0,8.242650189108858,8.315029380829088,1.8,19.594392474005154,5.0,37.7,5.4,13.0,1.6,3.7,7.0,12.2,3.0,8.7
2017.1,8.4,11.9,9.5,19.1,22.3,13.0,37.8,11.1,10.8,7.0,14.4,8.9,8.3,8.3,1.1,18.3,12.0,21.6,8.3,15.1,6.3,1.2,13.3,12.7,1.1,8.35133360491971
2017.2,8.6,12.0,12.3,16.05,25.9,16.3,42.2,10.7,-1.5,10.8,11.2,14.3,8.1,8.8,1.2,17.1,11.2,12.5,9.9,15.5,6.9,3.6,9.5,12.4,3.9,8.5
2017.3,8.8,11.7,12.1,13.0,28.1,16.5,48.2,10.0,-4.0,10.6,10.2,20.9,8.3,8.9,1.2,13.6,12.6,6.5,11.0,13.6,6.4,4.4,6.3,12.2,7.1,8.3
2017.4,9.0,11.9,11.1,12.3,20.8,7.2,45.0,11.0,-4.6,12.0,11.0,21.9,8.5,8.9,1.2,13.6,13.0,8.2,11.0,13.6,5.9,4.9,4.9,12.3,6.099999999999994,8.5
2018.1,8.6,11.6,17.9,14.7,35.2,21.8,52.7,11.5,33.2,12.2,10.5,22.6,8.7,9.8,2.1,11.8,13.7,10.0,7.5,14.1,1.7,3.0,-5.6,12.9,16.6,8.1
2018.2,8.9,12.0,14.7,10.2,26.3,22.0,32.2,11.8,-20.1,13.7,12.2,22.5,8.5,9.6,1.7,11.9,14.3,9.2,8.5,14.5,1.1,4.0,-5.5,12.9,15.1,8.3
